habitat;site;transect;method;holothuria_leucospilota;holothuria_atra;stichopus_chloronotus;actinopyga_mauritiana;actinopyga_echinites;holothuria_cinerascens;holothuria_nobilis;holothuria_verrucosa;synapta_maculata;holothuria_pervicax;holothuria_flavomaculata;bohadschia_vitiensis;actinopyga_apillata;diadema_savignyi;echinothrix_diadema;echinometra_mathaei;stomopneustes_variolaris;echinothrix_calamaris;tripneustes_gratilla;toxopneustes_pileolus;heterocentrotus_mamillatus
platier_a_colonies_coralliennes;10;1;belt;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0
platier_a_colonies_coralliennes;18;1;belt;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
platier_a_colonies_coralliennes;17;1;belt;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platier_a_colonies_coralliennes;30;1;belt;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platier_a_colonies_coralliennes;33;1;belt;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
chenal_de_platier;98;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
chenal_de_platier;98;2;belt;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chenal_de_platier;70;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chenal_de_platier;70;2;belt;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
chenal_de_platier;97;1;belt;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
chenal_de_platier;97;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
chenal_de_platier;95;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
chenal_de_platier;95;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platier_a_epandage_detritique;93;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
platier_a_epandage_detritique;93;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platier_a_epandage_detritique;67;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
platier_a_epandage_detritique;67;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
platier_a_epandage_detritique;69;1;belt;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
platier_a_epandage_detritique;69;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
platier_a_epandage_detritique;94;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
platier_a_epandage_detritique;94;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
platier_a_epandage_detritique;68;1;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
platier_a_epandage_detritique;68;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
platier_a_epandage_detritique;92;1;belt;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
platier_a_epandage_detritique;92;2;belt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0